     tau         EL         x1         y1         z1         x2         y2         z2
   11400   -3.04136   -0.17225   -0.08507   -0.00933   -0.07742    2.15210   -0.25808 
   11500   -2.80392    0.14785   -0.59078    0.50384   -0.84114   -0.00387    0.31398 
   11600   -2.73260    0.93605    0.19285    0.90158   -0.46761   -0.45341   -0.33507 
   11700   -3.10423    0.49714    0.51807    0.22163    0.17604    0.36438    0.67384 
   11800   -3.22095    0.07149    0.01066   -0.40712   -0.20840   -2.84654    1.45837 
   11900   -3.44016   -0.05259   -0.05096    0.10217   -0.33131   -0.89930    0.20631 
   12000   -2.59307    0.75414   -0.27139   -0.13868   -0.60251   -0.35263   -0.03979 
   12100   -3.22573    0.05004   -0.14349   -0.10569    0.78564   -0.03972   -0.35049 
   12200   -3.11762   -0.37302    0.00026   -0.00252   -0.33266   -1.38233   -0.25868 
   12300   -3.11757   -1.00507   -0.79628    1.41128   -0.66873   -0.37560   -0.50718 
   12400   -2.72215   -0.14340    0.41072    0.46328   -0.45006   -1.10720   -0.10646 
   12500   -2.57611   -0.53771    0.40362   -0.70665   -0.05907   -0.38237    0.28444 
   12600   -2.83494    0.80724   -0.54087   -0.36627   -0.37694   -0.45138   -0.24105 
   12700   -2.65847    0.98380    0.50762   -0.01308   -0.12683   -0.38709    0.28745 
   12800   -2.92816   -0.30688    0.32606    0.08446   -0.66195   -1.29123   -0.94667 
   12900   -2.82668   -0.51384   -0.31631   -0.88993   -0.06930   -0.63292    0.28691 
   13000   -3.07914   -0.53731   -0.50247    0.61749   -0.91719   -0.30462   -0.08791 
   13100   -3.12293   -0.60547    0.27637    1.68791   -0.83407   -0.09656   -1.74549 
   13200   -2.80869    0.05176   -0.02318    0.18189    0.23284    1.32619   -0.77927 
   13300   -3.71932    0.59747   -1.51991   -0.99706    0.22448   -0.46985   -0.44512 
   13400   -2.97246   -1.51193   -0.48569   -0.33716    0.20619   -0.62180    0.48925 
   13500   -2.54520    0.38073   -0.25615   -0.08062   -0.14869   -0.16339   -0.06307 
   13600   -2.77532    0.96284    0.22034   -0.34676   -0.64594    0.60847   -0.30369 
   13700   -2.89008   -0.61715    0.71250    0.15141   -0.23033   -0.15412   -0.06219 
   13800   -2.59448   -0.24774   -0.16166   -0.90468   -0.16475   -0.05675    0.65111 
   13900   -2.41969    0.14343   -0.05228   -0.03818   -1.03306    0.10833    0.25249 
   14000   -2.89268    0.16176   -1.01573   -0.09718   -0.15917   -0.09489    0.33745 
   14100   -3.51193    0.10711    0.29319   -0.21518    0.59099    1.00600   -0.05835 
   14200   -3.12572    0.01798   -0.38543    0.16592   -0.14690   -0.44622   -0.07516 
   14300   -3.37818   -0.62317    1.36767   -0.63849   -0.23670    0.02413   -0.33216 
   14400   -3.03473   -1.56703   -0.55914   -0.85477   -0.18369    0.55273    0.18184 
   14500   -3.57645   -0.11485    0.12904    0.14663   -0.10626    0.34799    0.60529 
