     tau         EL         x1         y1         z1         x2         y2         z2
   16700   -2.45145   -0.18254   -0.27699   -0.36104    0.52791   -0.07190    0.20515 
   16800   -3.01717   -0.36240    0.76466    0.24249    0.76870    0.97126   -0.50338 
   16900   -2.58473   -0.79503   -0.19892    0.22619    0.34120    0.39403    0.35346 
   17000   -3.52691    1.82242   -0.23248    0.05172    0.88801   -0.09603   -0.52233 
   17100   -3.09425   -0.19670   -1.27749   -0.58061   -1.31308   -0.38403   -0.14320 
   17200   -3.30314    0.65862   -0.46262   -0.25361    1.84880    0.36120    0.80324 
   17300   -2.38992    0.15328   -0.43610   -0.26797    0.21047    0.23852    0.32873 
   17400   -2.62341    0.32773    0.81379    0.06560   -0.13318   -0.61031   -0.71991 
   17500   -2.95363    0.91736    0.54175    0.63693   -0.14906   -0.00889   -1.99190 
   17600   -2.36477   -0.46804    0.14599    0.11021    0.13722   -0.35542   -0.06497 
   17700   -3.08771   -0.89958   -0.19886    1.02405   -1.10157    0.73536   -0.05554 
   17800   -2.62815    0.16157   -0.48139    0.60935   -0.71143   -0.12149   -0.37968 
   17900   -2.82806   -1.17540   -1.31052   -0.60703    0.06557    0.22762   -0.13484 
   18000   -2.93343    0.57791   -1.00549   -0.17431   -1.49453    1.61918    0.05366 
   18100   -2.63544    0.34566    0.40344    0.96898   -0.23407    0.20736   -0.23285 
   18200   -2.83638   -1.01954   -1.42910    0.53490    0.60488    0.80396   -0.38193 
   18300   -2.82929    0.69604    0.48385    0.54352   -0.59386    0.05802    0.70596 
   18400   -2.78774   -1.43918    0.25321    0.72284    0.53051    0.11504    0.24487 
   18500   -2.70974   -1.38631   -1.33216   -0.04299    0.25701    0.30827    0.09090 
   18600   -2.74339   -0.27822    0.48603   -0.03774    0.12545    0.12143   -0.52622 
   18700   -2.96011    0.49878   -0.08280    0.97754   -1.08231   -1.56412   -0.95289 
   18800   -2.64296    0.05438    0.02109   -0.23201    0.41028    0.44419    0.26367 
   18900   -2.79068   -0.82504    0.17483    0.61977    1.48299   -0.37930    0.03943 
   19000   -2.87040   -0.75091    0.84441   -0.03866    0.05949    0.04370   -0.52727 
   19100   -3.33647   -0.72489   -0.56624   -0.19496    0.00480   -0.28136   -0.02999 
   19200   -2.78144   -0.74248   -0.74731    0.47820   -0.29016    0.26325   -0.97087 
   19300   -2.76533    0.00620    0.40589    0.84977   -0.66088   -0.76031    0.11217 
   19400   -2.94654   -0.58782    0.84110   -0.35844   -0.18114    0.09884    0.35922 
   19500   -2.53499    0.00361   -0.53833   -0.26074   -0.45654    0.15301    0.04298 
   19600   -2.75045    0.60755   -0.02813   -0.31633   -0.10084    0.27590   -0.27883 
   19700   -2.88595    0.34639   -0.84911    0.12506    0.75770    0.10011   -0.12707 
   19800   -2.67154   -0.17359   -0.40954    0.02345   -0.35788    0.26079   -0.66327 
   19900   -3.27496   -0.15313   -0.27477    0.17929   -0.26723    0.31680    1.50551 
   20000   -2.27172   -0.01494   -0.02114   -0.28079    0.18392   -0.10402    0.59162 
   20100   -2.67120    0.76867    0.69071   -0.58986   -0.02800   -0.54685   -0.08361 
   20200   -2.39725    0.36046   -0.12414   -0.06347   -0.19958   -0.16536   -0.12634 
   20300   -2.56601    0.10591    0.15643   -0.05176   -0.27336   -1.21692   -0.37500 
   20400   -2.69746   -0.15346    0.45490    0.09215   -0.75619   -0.67635    0.27902 
   20500   -2.55582    0.42999   -0.07501   -0.65053   -0.26072    0.13155   -0.03535 
   20600   -2.73509    0.13012    0.00825    0.02753   -1.21322   -1.30895   -0.36079 
   20700   -2.87643   -0.17593   -0.44531   -0.59036    0.03674   -0.73517    0.27254 
   20800   -3.16965   -0.36783   -0.22885    0.62572   -0.32624   -0.48883    0.13782 
   20900   -2.70798   -0.26632   -0.05269    0.02367    1.93720    0.66050   -0.31597 
   21000   -2.86609   -0.91474    0.15862   -0.43545   -0.14098   -1.21477    0.05839 
   21100   -2.14685   -0.01379   -0.14537   -0.15025    0.08982    0.30084    0.31179 
   21200   -2.67836   -0.62188   -0.06336    0.21115    1.36459   -0.07947   -0.75673 
   21300   -2.96379    0.86949    0.06121   -0.17626   -0.05869   -1.65393    0.73173 
   21400   -2.45538   -0.37865   -0.24713   -0.16568    0.10365    0.14082    0.60168 
   21500   -2.35364    0.07257    0.33129    0.38193   -0.22914   -0.19443   -0.04030 
   21600   -3.21542    0.32923    0.08631    0.11642    0.16436    0.15800    1.00211 
   21700   -3.55628    0.01200   -0.75391    0.05827   -0.15621   -0.66510   -0.06490 
   21800   -3.32142    0.88818    0.25977    0.98095    0.47079   -1.23154    1.77387 
   21900   -3.22778    0.57517    0.63362    0.82132    0.11977    0.32876   -0.09771 
   22000   -3.55067   -0.01038    0.36508   -0.31943   -0.76751    0.39973   -1.48773 
   22100   -2.39643   -0.16703   -0.06623    0.73029    0.29468   -0.00206   -0.36541 
   22200   -3.04583   -0.19672    0.15688    0.95337    0.20197   -0.29982    0.25568 
   22300   -2.36122   -0.26759    0.32869   -0.41693    0.15471   -0.29884    0.48883 
   22400   -2.53001   -0.33223   -0.65214   -0.07700    0.20923    0.26432   -0.43833 
   22500   -2.79349    0.36069    0.43065    0.78604   -0.59758    0.82310   -0.52204 
   22600   -2.74645   -0.26067    0.24997    0.08263    0.12682   -1.34897    0.68343 
   22700   -2.65321    0.25928    0.25775    0.07679    0.23451   -0.81729   -0.73862 
   22800   -2.82593    1.04522   -0.94302    0.83735   -0.39456   -0.13612   -0.02687 
   22900   -2.48872    0.00244   -0.32579    0.46687   -0.10490   -0.23646   -0.44889 
   23000   -2.81318    0.81393   -0.44517   -0.31987   -0.52301    0.00879   -0.93507 
   23100   -2.79690   -0.53145   -0.42319   -0.16297    1.19693   -0.06876   -0.88016 
   23200   -2.66800   -0.15431   -0.20692    0.07109    0.37817    0.93694   -1.26279 
   23300   -3.73358    0.37354    0.10774   -0.05285    1.59477   -0.16684   -0.05936 
   23400   -2.46550   -0.19826    0.15929    0.10294    0.75039   -0.40102    0.30998 
   23500   -3.47765   -0.30711    0.03571    0.51641   -0.15927   -0.11195    0.13076 
   23600   -2.50552    0.00657   -0.24828   -0.04279    0.18987    0.05457    0.43114 
