     tau         EL         x1         y1         z1         x2         y2         z2
    9800   -2.65016   -0.91381   -0.53192    0.05222    0.08942    0.12080   -0.21855 
    9900   -2.57684   -0.27472   -0.34119    0.08514    0.25497   -0.12914    0.44797 
   10000   -2.49442    0.05861    0.08774    0.07128    0.42156   -0.33692   -0.33815 
   10100   -3.11129   -1.13054    1.47572    1.32119   -0.06900   -0.11160   -0.52266 
   10200   -2.92322    0.09876    0.34576   -0.30046    0.16029    0.14110    0.02278 
   10300   -2.63922    0.17778    0.65759   -0.52032    0.28094   -0.22519    0.53951 
   10400   -2.63143   -0.39076   -0.47306   -0.44298   -0.28522    0.13939    0.19667 
   10500   -2.88800    0.96677    0.23875    0.45800   -0.20518    0.45653    0.42364 
   10600   -3.51670    0.14062    0.17313    1.73833    0.19267   -0.05058    0.24217 
   10700   -3.00926    1.08280    1.02185   -0.48691    0.46836   -0.47204    0.52895 
   10800   -2.91650   -0.04837    0.38914   -0.21053    0.35431   -0.41879   -1.03561 
   10900   -2.81378    0.15130   -0.11145    0.51526    0.35342   -0.78160   -0.93491 
   11000   -2.69362   -0.01710   -0.50121    0.27539    0.65074    0.76355   -0.40815 
   11100   -2.75493    0.19191    0.08300    0.01809   -0.02310   -1.12619    0.21451 
   11200   -2.77218   -0.34508   -0.05603   -0.66830   -0.44611    0.69218    0.14538 
   11300   -2.65797    0.74314    0.32276    0.04277   -0.34946   -0.38152    0.51028 
   11400   -2.69470    0.01798    0.05224    0.27277    0.26831    0.12242    0.12991 
   11500   -2.92817   -0.09764   -0.10100    0.83668   -0.21540    0.32225    0.21469 
   11600   -3.54486    0.93590   -0.12428   -1.04906    0.32223   -0.11422   -0.18448 
   11700   -2.46074   -0.00307    0.24296    0.19696   -0.48745   -0.12555   -0.50329 
   11800   -2.87896   -0.10004    0.79334    0.07561    0.18755   -1.20913    0.61972 
   11900   -3.20618    2.00448    0.53740    0.03047    0.01911    0.09802   -0.55065 
   12000   -3.02568    0.33556   -0.96755    0.04779   -1.08918   -0.75411    0.37811 
   12100   -2.31711    0.28409   -0.34833    0.21380   -0.12875    0.04561   -0.33807 
   12200   -3.50357   -0.69654   -0.17641   -0.36802   -0.35129   -0.10608   -0.09803 
   12300   -3.39141   -0.06592    0.41892    0.40676   -0.47213    0.99374    0.42192 
   12400   -3.29854   -0.42953   -0.19754   -0.09683   -0.32048   -0.07407    0.03226 
   12500   -3.46716   -0.08627    0.21974    0.93543    0.09852    0.13080    0.45491 
   12600   -2.91150    1.18946    0.49144    0.84898   -0.29761   -0.59257   -0.22513 
   12700   -2.69622    0.11871    0.33350    0.05423    0.20050   -0.22903    0.74075 
   12800   -2.96916   -0.58804    0.02272    1.31957    0.90814    0.35550   -0.15127 
   12900   -3.44244   -0.30116   -0.40140    0.20801   -0.94412   -1.30801   -0.40306 
   13000   -3.04239   -0.10840    0.32142   -0.17977   -0.87515    0.20824   -0.12688 
   13100   -2.45404    0.47187   -0.17215   -0.02278   -0.07409   -0.01914    0.36215 
   13200   -2.37430    0.16707    0.44324    0.49156   -0.17665   -0.14325   -0.03763 
   13300   -2.89510   -0.12090   -0.43688   -0.04417    0.33688   -0.52044    0.29780 
   13400   -2.60099    0.63035   -0.30588   -0.41575   -0.28979   -0.32154    0.25083 
   13500   -2.70365   -0.06646    0.22370    0.89433    0.42262    0.14870   -0.11341 
   13600   -2.66874    0.40894    0.56298    1.02909   -0.14441   -0.00122   -0.08547 
   13700   -2.78479    0.74738    0.27938   -0.32227   -0.68279   -0.76256    0.27381 
   13800   -3.32395    0.80588    1.07244    0.95922   -0.66494   -2.14684    1.33756 
   13900   -2.54208   -0.08915    0.08591    0.45314    0.13036   -0.42135    0.11666 
   14000   -3.11696    0.00979    0.15082    0.01754    0.15058    0.17476    1.15956 
   14100   -3.10149    0.88725    0.21885   -0.12012    0.66048   -0.18625   -0.39619 
   14200   -2.93016    0.43434    0.33932    0.01433    0.66089   -0.49143   -0.81780 
   14300   -2.97437    0.86838   -0.28485   -0.55518   -0.98441   -0.75100    0.68674 
   14400   -2.97779   -0.11685    0.17951    0.25225   -0.48031    0.48509   -0.05335 
   14500   -3.01004   -0.22548   -0.18921   -0.57248    0.86727   -1.03802   -0.26991 
   14600   -2.61281    0.47209   -0.20792    0.43938   -0.69438   -0.20253    0.06186 
   14700   -3.46913   -0.23755   -0.43775   -0.53969   -0.07329   -0.21118   -0.12354 
   14800   -2.98419    0.94858    0.24353    0.51811   -0.28294    1.26841   -0.12354 
   14900   -3.25342    0.17510    0.09628   -0.14690    0.04144    0.63134   -0.55441 
   15000   -2.56940   -0.15167    0.71319    0.12037   -0.38018   -0.41412    0.05614 
   15100   -2.80401    0.01918    0.40215   -0.09522    0.45333    0.16057   -0.42137 
   15200   -2.57129    0.06537   -0.45465   -0.55980    0.14308    0.31911   -0.11376 
