     tau         EL         x1         y1         z1         x2         y2         z2
   15500   -4.00128   -0.14058   -0.49539   -0.13955   -0.01250    0.02315   -0.60876 
   15600   -3.99811    0.06291    0.26505   -0.29658    0.21210   -0.22321    0.32389 
   15700   -4.00223   -0.24855    0.41509    0.49877    0.52184   -0.09815    0.24067 
   15800   -4.00097    0.54414   -0.89787    0.37943    0.08078   -0.23276   -0.27005 
   15900   -3.97927   -0.45652   -0.57992   -0.53578   -0.06125   -0.01429    0.06796 
   16000   -3.99617   -0.01202    0.14619   -0.14284   -0.90526    0.41135   -1.42410 
   16100   -4.00296    0.32617    0.33282   -0.20977   -0.49212   -0.72035    0.65134 
   16200   -3.99842    0.54077    0.03995    0.33516   -0.32099    0.07352   -0.00687 
   16300   -4.00386   -0.73535    0.25433   -0.39238   -0.35651    0.03732   -0.62646 
   16400   -4.00114   -0.28234   -0.33121   -0.38152    0.46875    0.27524   -0.00475 
   16500   -3.99742    0.19236    0.07853   -0.25772   -0.08611   -0.42898    0.25924 
   16600   -4.00420   -0.29509   -0.83377   -0.40014   -0.46065   -0.55953   -0.07561 
   16700   -4.00478   -0.45459    0.29771    0.70603    0.24809    0.52205   -0.74429 
   16800   -4.00070   -0.87327   -0.02725   -0.33585   -0.07384   -0.02225    0.36695 
   16900   -3.99752   -0.16130   -0.22885   -0.78567    0.26352    0.02790   -0.02981 
   17000   -4.00411   -0.65954    0.57446    0.51121    0.20152   -0.57383    0.32322 
   17100   -4.00289    0.38517    0.04623   -0.32282    0.39297   -0.01920   -1.01254 
   17200   -4.00249    0.32204    0.33781   -0.07270    0.08902   -0.94060   -0.49325 
   17300   -3.99834   -0.16877   -0.06378    0.23045   -0.60904    0.16022    0.52604 
   17400   -3.99906    0.29659   -0.73949    0.01004    0.12293    0.24844    0.16416 
   17500   -4.00151   -0.92535   -0.01397    0.21209    0.01332   -0.19569   -0.37270 
   17600   -4.00021    0.15176   -0.25473    0.21062   -0.69080   -0.07709   -0.49574 
   17700   -3.99253    0.20959    0.10526    0.11224    0.25745    0.17450   -0.12008 
   17800   -4.00484   -0.03041    1.12515    0.64445   -0.03739   -0.22841   -0.68275 
   17900   -4.00124   -0.14220    0.27594   -0.28439    0.74350    0.33885    0.28910 
   18000   -3.98569    0.00124    0.26479    0.28025    0.08568    0.04551   -0.10880 
   18100   -4.00368    0.72635    0.36200   -0.51410    0.32376    0.55252    0.01581 
   18200   -4.00518    1.24034    1.14378   -0.68495   -0.54463    0.28461    0.28168 
   18300   -4.00054   -0.08268    0.17452    0.22484    1.38354    1.48205   -1.19960 
   18400   -4.00196    0.10080   -0.17844   -0.42707    0.41201   -0.57285    0.51400 
   18500   -4.00611   -0.55919   -0.70136   -0.55815   -0.52699   -0.78064   -1.00050 
   18600   -4.00652   -0.96373    0.12632    0.02388   -0.52456    0.17147    1.96521 
   18700   -4.00224    0.13382   -0.33195   -0.03371   -0.64997    2.00238    1.72511 
   18800   -3.98717   -0.10024    0.07869   -0.87340    0.02054    0.12206   -0.03619 
   18900   -4.00361    0.69512   -0.01498   -0.09783   -0.52868    0.28656    0.57438 
   19000   -4.00298   -0.87026    0.31840    0.34087    0.28071    0.03260   -0.45852 
   19100   -3.95160   -0.00622    0.04802   -0.01367   -0.19988   -0.31620    0.11140 
   19200   -4.00768    0.65541   -0.67324    1.26668    0.68632   -0.14678    2.13531 
   19300   -4.00611   -0.07745   -0.97580    0.06367    1.36009    0.17027    0.66153 
   19400   -3.99183    0.11542   -0.19410   -0.33177    0.11421    0.14295   -0.11543 
   19500   -4.00404   -0.36159    0.78716    0.33294   -0.20875   -0.21387   -0.65605 
   19600   -4.00206    0.39288   -0.56204   -0.09121    0.08053   -0.10117    0.54902 
   19700   -4.00384    0.56381   -0.34116   -0.31666    0.31007    0.72348    0.33183 
   19800   -4.00448    0.10237    0.02186   -0.67758   -0.94197   -0.52447    0.51770 
   19900   -3.99377   -0.12053   -0.07368    0.14787    0.23851   -0.01088   -0.62889 
   20000   -3.99825   -0.06364    0.24361   -0.13509   -0.62116    0.44086   -0.38683 
   20100   -4.00261    0.46433    0.44065   -0.19064   -0.65028    0.12117   -0.02075 
   20200   -3.99114    0.23689    0.39299   -0.26803    0.12651   -0.12657    0.03331 
   20300   -4.00360    0.40959   -0.49229    0.16008   -0.49418   -0.62315    0.41431 
   20400   -3.93608    0.02248   -0.00268    0.02815   -0.85713   -0.67059    1.03839 
   20500   -4.00115   -0.36832   -0.27778   -0.21100   -0.58266    0.23097   -0.03536 
   20600   -3.99736    0.09871    0.18895    0.13518    0.92044    0.00105    0.26014 
