     tau         EL         x1         y1         z1         x2         y2         z2
     970   -2.95110   -0.45841    0.19357   -1.83765    0.59903    0.08609    0.41184 
     980   -3.05996    0.84725   -0.61609   -1.00261    0.60923    0.60327   -0.30575 
     990   -3.08545    0.55540    0.55121   -0.24639    0.00580    0.60327   -0.02390 
    1000   -2.78115    0.55540    0.48469   -0.24639   -0.40554    0.60327   -0.02390 
    1010   -2.43110    0.55540    0.06377   -0.24639   -0.40554   -0.33347   -0.02390 
    1020   -2.41723    0.62733    0.16794   -0.05315   -0.40554   -0.33347   -0.02390 
    1030   -2.77784    0.48839   -0.69436   -0.05315   -0.40554   -0.33347   -0.22473 
    1040   -3.04590    0.39403   -0.27268   -0.05315    0.12220   -0.33347   -0.22473 
    1050   -2.96768   -0.52879   -0.27268    0.00464   -0.46236    0.04186   -0.41115 
    1060   -3.34970    0.30317    0.23028    0.00464    1.07555   -0.05818   -0.41115 
    1070   -2.97105   -0.03819    0.23028   -0.33050    1.07555   -0.05818   -0.41115 
    1080   -2.91628    1.25655    0.23028   -0.84915   -0.35206   -0.05818   -0.30643 
    1090   -3.09098   -0.01423   -0.47504   -1.55364   -0.99464   -0.05818   -0.30643 
    1100   -3.21121   -0.01423    0.16130   -1.55364   -0.50303    0.57988   -0.49779 
    1110   -3.22964    0.47436    0.16130   -1.55364   -0.26134    0.57988   -0.49779 
    1120   -3.28226    0.47436    0.19559   -1.55364    0.67918   -0.45119   -0.66983 
    1130   -2.83555    0.47436    0.19559    0.05580   -0.05271   -1.25119   -0.66983 
    1140   -2.71757    0.06252    0.26725    0.05580   -0.05271   -1.25119   -0.97119 
    1150   -2.54702   -0.59367    0.26725    0.05580   -0.05271   -0.44170   -0.15722 
    1160   -2.37396   -0.36943    0.26725    0.20461   -0.05271   -0.34611   -0.15722 
    1170   -2.96818   -0.36943    0.26725   -0.39021   -0.39578   -0.34611   -0.51795 
    1180   -2.63913    0.37252    0.82401   -0.39021   -0.39578   -0.34611   -0.23330 
    1190   -2.64861    0.15554    0.02844   -0.39021   -0.39578   -0.34611   -0.23330 
    1200   -2.72147    0.28601   -0.64088   -0.70581   -0.19263    0.34380   -0.23330 
    1210   -2.40167    0.28601   -0.64088    0.23611   -0.19263    0.14137   -0.23330 
    1220   -3.08896    0.28601   -0.64088   -0.80449    0.28146    0.14137   -0.23330 
    1230   -3.01493   -1.35582    0.67508   -0.80449    0.28146    0.12335   -0.23330 
    1240   -3.28243   -1.35582    0.67508    0.36309   -0.19036    0.12335   -0.26364 
    1250   -3.02696   -1.35582   -0.82226   -0.64361    0.16240    0.64534   -0.80742 
    1260   -2.85849    0.77768   -0.82226   -0.47819   -0.71855    0.09933   -0.60672 
    1270   -3.06718    0.59447   -0.82226    0.54251    0.07788    0.09933    0.44971 
    1280   -2.63777   -0.28607   -0.82226   -0.47500   -0.14614    0.09933    0.44971 
